Date,AAPL,GE,GOOGL,IBM,KO,MSFT,PEP
2010-01-04,28.313195,12.657489,313.688694,115.385996,23.874306,26.227603,51.317187
2010-01-05,28.362145,12.723029,312.307316,113.992138,23.585503,26.236076,51.937282
2010-01-06,27.911008,12.657489,304.434452,113.251641,23.577133,26.075067,51.417742
2010-01-07,27.859412,13.312893,297.347355,112.859619,23.518534,25.803894,51.090935
2010-01-08,28.04463,13.599632,301.311314,113.992138,23.083239,25.981851,50.923341
2010-01-11,27.797232,13.730713,300.855869,112.798631,23.552019,25.651358,50.864683
2010-01-12,27.481038,13.738906,295.535526,113.695931,23.807337,25.481874,51.576955
2010-01-13,27.868673,13.78806,293.83884,113.452005,23.870119,25.719151,51.995939
2010-01-14,27.707269,13.681558,295.220219,115.264033,23.911976,26.236076,52.624415
2010-01-15,27.244224,13.468552,290.290287,114.802316,23.56039,26.151335,52.197053
2010-01-19,28.449462,13.550477,294.104099,116.858269,23.614801,26.354715,52.230572
2010-01-20,28.011555,13.517706,290.495487,113.469432,23.229733,25.922532,51.912144
2010-01-21,27.527342,13.124464,291.781773,112.380474,22.756766,25.431029,51.065794
2010-01-22,26.162022,13.198197,275.280277,109.331392,22.702356,24.541239,50.604912
2010-01-25,26.86585,13.411204,270.270267,109.871517,22.748395,24.84631,50.470837
2010-01-26,27.245547,13.394818,271.481479,109.549183,22.660499,24.998845,50.487597
2010-01-27,27.502206,13.353855,271.321323,110.054461,22.815364,25.142907,50.521116
2010-01-28,26.365761,13.23916,267.412418,107.80685,22.677242,24.710723,50.060234
2010-01-29,25.409244,13.173619,265.235233,106.622063,22.70654,23.880253,49.959676
2010-02-01,25.762481,13.312893,266.776767,108.608322,22.760953,24.075159,50.864683
2010-02-02,25.911978,13.804446,265.82584,109.357526,23.041383,24.117529,51.241769
2010-02-03,26.357823,13.665173,270.680698,109.470782,22.966043,24.261591,51.359085
2010-02-04,25.407921,13.14085,263.653659,107.153476,22.363326,23.592131,49.976435
2010-02-05,25.859059,12.936035,265.910923,107.606479,22.221018,23.744666,49.867499
2010-02-08,25.681779,12.780377,267.002018,106.652662,22.036855,23.49044,49.406617
2010-02-09,25.955637,12.780377,268.488498,107.816497,22.606087,23.736192,50.320002
2010-02-10,25.814078,12.85411,267.492496,107.466471,22.514006,23.719243,50.596533
2010-02-11,26.283736,12.919651,268.468479,108.271533,22.693984,23.829409,51.275286
2010-02-12,26.509966,12.739414,266.826816,108.507797,22.593531,23.668399,51.049034
2010-02-16,26.909508,13.14085,270.920932,109.584128,22.945116,24.136659,51.375844
2010-02-17,26.797055,13.230967,269.374363,110.546696,23.158579,24.34099,52.046218
2010-02-18,26.847328,13.3047,271.8819,111.841785,23.40134,24.664514,52.398164
2010-02-19,26.680632,13.247352,270.650669,111.29925,23.321815,24.494239,52.5071
2010-02-22,26.515259,13.312893,271.671665,111.001725,23.179507,24.460183,52.297608
2010-02-23,26.070736,13.067116,267.802799,110.660451,22.949302,24.119631,51.769687
2010-02-24,26.547011,13.20639,266.001011,111.64927,23.087424,24.375044,52.02108
2010-02-25,26.724291,13.123953,263.478489,111.19424,22.233574,24.349504,52.205431
2010-02-26,27.070912,13.239364,263.663669,111.272999,22.066154,24.4091,52.347888
2010-03-01,27.649058,13.107465,266.611606,112.506841,22.296358,24.707084,53.152336
2010-03-02,27.630535,13.107465,270.800815,111.500511,22.308914,24.230309,53.462384
2010-03-03,27.694038,13.214634,272.932926,111.027976,22.572603,24.230309,53.994054
2010-03-04,27.876611,13.280583,277.572574,110.88797,22.798623,24.375044,54.103765
2010-03-05,28.966751,13.478432,282.387394,111.351752,22.89489,24.34099,54.323186
2010-03-08,28.983948,13.412482,281.521519,110.616702,22.794436,24.375044,54.137522
2010-03-09,29.505205,13.593843,280.37537,109.864148,22.677242,24.519779,54.314745
2010-03-10,29.745987,13.610331,288.513523,109.925402,22.685613,24.664514,54.373819
2010-03-11,29.833306,13.585599,290.860874,111.658023,22.618095,24.843305,54.829537
2010-03-12,29.978834,14.047247,290.060062,111.955547,22.5126,24.919929,54.939245
2010-03-15,29.613689,14.253339,281.87186,111.85929,22.639195,24.936957,55.825364
2010-03-16,29.694391,14.896346,282.882877,112.59434,22.660294,25.005068,55.757849
2010-03-17,29.650733,14.871616,283.063053,111.798036,22.719371,25.226425,56.179809
2010-03-18,29.720851,14.995271,283.483494,112.340577,22.765789,25.209399,56.137611
2010-03-19,29.403335,14.896346,280.280277,111.75428,23.103372,25.192371,56.171368
2010-03-22,29.734082,14.896346,279.029026,111.990551,23.014757,25.200885,55.960388
2010-03-23,30.211678,15.110682,274.774784,113.206881,23.33546,25.439271,56.424547
2010-03-24,30.3453,15.209607,278.943943,112.471831,23.048514,25.243454,55.918196
2010-03-25,29.985447,15.08595,281.721714,113.093132,23.124471,25.549951,56.162934
2010-03-26,30.547716,15.118926,281.626621,113.110623,23.061175,25.251968,56.196685
2010-03-29,30.74484,15.168387,281.506504,112.524333,23.111812,25.192371,56.162934
2010-03-30,31.202593,15.08595,283.638645,112.681851,23.154009,25.34562,56.348591
2010-03-31,31.090142,15.003515,283.843845,112.226815,23.208867,24.936957,55.833805
2010-04-01,31.218469,15.110682,284.684696,112.226815,23.33546,24.826277,56.272641
2010-04-05,31.551862,15.275556,285.790806,113.189389,23.14979,24.919929,55.681899
2010-04-06,31.690777,15.333262,284.394413,112.821851,22.909262,24.962498,56.027903
2010-04-07,31.831013,15.250825,282.052067,112.428075,22.710931,24.98804,55.690334
2010-04-08,31.745018,15.300286,284.029026,111.666775,22.685612,25.473327,55.673458
2010-04-09,31.988446,15.267312,283.393406,112.673092,23.035855,25.830907,56.002587
2010-04-12,32.054597,15.423941,286.651646,112.323072,23.107591,25.813879,55.968829
2010-04-13,32.073119,15.621791,293.678684,112.909363,23.217307,25.924559,56.027903
2010-04-14,32.504411,15.951538,294.794804,114.852003,23.187768,26.23957,55.943512
2010-04-15,32.931736,16.075193,297.947941,114.53698,22.896601,26.28214,55.92663
2010-04-16,32.730642,15.638277,275.350345,114.309469,23.196208,26.111863,55.816923
2010-04-19,32.686984,15.613547,275.325321,115.709561,23.3439,26.426875,55.800047
2010-04-20,32.358883,15.663009,277.797794,113.486907,22.985218,26.699316,55.614384
2010-04-21,34.29441,15.687741,277.427433,112.874366,22.867063,26.673774,55.681899
2010-04-22,35.253573,15.621791,273.803806,112.996874,22.917702,26.724857,54.652315
2010-04-23,35.830393,15.720715,272.767765,113.749429,22.73625,26.358762,54.610116
2010-04-26,35.654438,15.910319,266.086094,114.396967,22.672953,26.486471,54.871729
2010-04-27,34.66749,15.415699,264.794803,112.725607,22.31005,26.265112,54.205038
2010-04-28,34.60928,15.621791,264.859867,113.845686,22.516821,26.316194,54.643874
2010-04-29,35.540662,16.06695,266.266269,114.16071,22.677174,26.392819,55.023635
2010-04-30,34.541808,15.547598,263.113102,112.883112,22.554799,26.001184,55.040517
2010-05-03,35.237697,15.877345,265.565555,113.408155,22.685612,26.273626,55.437161
2010-05-04,34.222967,15.316774,253.438449,112.113052,22.440864,25.652116,55.21774
2010-05-05,33.867085,14.921077,255.135135,111.535514,22.643414,25.41373,55.023635
2010-05-06,32.578497,14.269825,249.584583,108.993618,22.069522,24.673028,54.601675
2010-05-07,31.203918,13.915346,246.816821,107.39284,22.225654,24.017464,54.491968
2010-05-10,33.602489,14.871616,261.086093,111.060555,22.803767,24.638974,56.044785
2010-05-11,33.937203,14.83864,254.779788,111.605877,22.622316,24.58789,56.162934
2010-05-12,34.674106,15.201363,252.947956,116.698456,22.795327,25.064664,56.492062
2010-05-13,34.180634,14.879858,255.695697,115.643,22.571679,24.894387,56.103859
2010-05-14,33.579996,14.541867,254.019016,115.387937,22.508381,24.63046,55.757849
2010-05-17,33.632917,14.475917,254.239246,114.728276,22.53792,24.638974,56.331715
2010-05-18,33.386843,14.203876,249.434436,114.297293,22.407105,24.459376,56.146052
2010-05-19,32.855001,14.228607,247.462467,113.338588,22.415545,24.151496,55.732532
2010-05-20,31.455283,13.404238,237.74274,108.888076,21.748819,23.185094,53.892785
2010-05-21,32.058564,13.536137,236.261264,110.31294,21.769917,22.954184,53.656488
2010-05-24,32.645969,13.198146,238.81882,109.459777,21.715059,22.466707,53.437067
2010-05-25,32.442231,13.148684,238.773776,109.521345,21.360597,22.295662,53.07418
2010-05-26,32.295378,13.198146,237.97298,108.386734,21.132729,21.389126,51.673272
2010-05-27,33.517816,13.733986,245.475482,111.166103,21.618004,22.235796,53.082621
2010-05-28,33.984832,13.478432,243.058063,110.172216,21.689742,22.064751,53.07418
2010-06-01,34.50741,13.173415,241.426425,109.363026,21.643324,22.141721,52.96447
2010-06-02,34.92018,13.478432,246.931934,112.063246,22.11594,22.629198,53.96797
2010-06-03,34.810372,13.560869,253.053058,112.546993,22.259413,22.971289,53.891432
2010-06-04,33.863118,12.950835,249.609607,110.189804,21.634884,22.0562,52.250111
2010-06-07,33.198978,12.703525,243.003009,109.178322,21.436553,21.628589,52.496735
2010-06-08,32.985978,12.76123,242.632633,108.817711,21.757258,21.474649,53.279128
2010-06-09,32.174989,12.629331,237.247256,108.97603,21.668641,21.200977,53.14306
2010-06-10,33.14209,12.926105,243.748752,112.300721,22.13282,21.380574,54.291132
